_url,name,birth_year,weight,height,nationality
frederik-rodenberg,Frederik  Rodenberg,1998,73.0,190,Denmark
fiorenzo-favero,Fiorenzo  Favero,1955,66.0,178,Italy
michael-van-staeyen,Michael Van Staeyen,1988,62.0,167,Belgium
inaki-isasi-flores,Iñaki  Isasi,1977,70.0,181,Spain
jens-mouris,Jens  Mouris,1980,65.0,172,Netherlands
frans-verbeeck,Frans  Verbeeck,1941,56.0,175,Belgium
dion-smith,Dion  Smith,1993,67.0,179,New Zealand
lennert-van-eetvelt,Lennert Van Eetvelt,2001,63.0,176,Belgium
lars-boven,Lars  Boven,2001,62.0,172,Netherlands
jose-del-ramo,José Del Ramo,1960,65.0,179,Spain
christophe-laborie,Christophe  Laborie,1986,67.0,181,France
karl-maxon,Karl  Maxon,1959,70.0,182,United States
diego-magoni,Diego  Magoni,1955,75.0,189,Italy
dirk-friel,Dirk  Friel,1970,71.0,182,United States
tobias-foss,Tobias  Foss,1997,74.0,184,Norway
noel-vantyghem,Noël  Vantyghem,1947,68.0,180,Belgium
tomas-konecny,Tomáš  Konečný,1973,67.0,178,Czech Republic
daniel-summerhill,Daniel  Summerhill,1989,70.0,185,United States
christian-dumont,Christian  Dumont,1956,58.0,173,Belgium
ettore-badolato,Ettore  Badolato,1964,84.0,193,Italy
daniel-beelen,Daniel  Beelen,1966,80.0,186,Belgium
nicolas-vogondy,Nicolas  Vogondy,1977,62.0,172,France
david-gutierrez-palacios,David  Gutiérrez Palacios,1987,72.0,185,Spain
ben-zwiehoff,Ben  Zwiehoff,1994,61.0,182,Germany
bert-pronk,Bert  Pronk,1950,78.0,179,Netherlands
wilfried-wesemael,Wilfried  Wesemael,1950,72.0,180,Belgium
ludo-frijns,Ludo  Frijns,1957,68.0,190,Belgium
oleg-iarochenko,Oleg  Iarochenko,1962,67.0,180,Russia
andrei-vedernikov,Andrei  Vedernikov,1959,75.0,181,Russia
juan-martinez-oliver,Juan  Martínez,1964,66.0,177,Spain
thomas-pidcock,Thomas  Pidcock,1999,58.0,170,Great Britain
gerhard-trampusch,Gerhard  Trampusch,1978,60.0,173,Austria
alessandro-proni,Alessandro  Proni,1982,68.0,183,Italy
javier-aramendia,Javier  Aramendia,1986,72.0,187,Spain
maryan-hary,Maryan  Hary,1980,68.0,185,France
jose-francisco,Jose Francisco  Jarque,1971,68.0,174,Spain
alessandro-spezialetti,Alessandro  Spezialetti,1975,67.0,179,Italy
ludovic-robeet,Ludovic  Robeet,1994,75.0,194,Belgium
christian-poos,Christian  Poos,1977,74.0,186,Luxembourg
timofey-kritskiy,Timofey  Kritskiy,1987,81.0,190,Russia
john-baldi,John  Baldi,1966,64.0,182,Italy
ad-wijnands,Ad  Wijnands,1959,68.0,183,Netherlands
yvan-haymoz,Yvan  Haymoz,1975,63.0,165,Switzerland
antoine-demoitie,Antoine  Demoitié,1990,69.0,180,Belgium
franco-vona,Franco  Vona,1964,69.0,173,Italy
pieter-mertens,Pieter  Mertens,1980,67.0,181,Belgium
asier-guenetxea,Asier  Guenetxea,1970,65.0,181,Spain
milan-menten,Milan  Menten,1996,68.0,174,Belgium
laurence-pithie,Laurence  Pithie,2002,74.0,185,New Zealand
eric-de-clercq,Eric De Clercq,1967,71.0,192,Belgium
mart-ojavee,Mart  Ojavee,1981,80.0,183,Estonia
giovanni-paolo-bottoia,Giovanni Paolo  Bottoia,1962,60.0,175,Italy
thomas-durst,Thomas  Durst,1967,71.0,178,Germany
rene-koppert,René  Koppert,1960,64.0,176,Netherlands
baden-cooke,Baden  Cooke,1978,75.0,180,Australia
jose-luis-navarro,José Luis  Navarro,1962,69.0,173,Spain
maxim-belkov,Maxim  Belkov,1985,71.0,184,Russia
pedro-jimenez-villanueva,Pedro  Jiménez,1974,67.0,180,Spain
angel-gomez-gomez,Ángel  Gómez,1981,68.0,183,Spain
andrea-peron-1,Andrea  Peron,1971,70.0,183,Italy
jonas-rickaert,Jonas  Rickaert,1994,79.0,187,Belgium
eric-baumann,Eric  Baumann,1980,72.0,177,Germany
kevin-geniets,Kevin  Geniets,1997,73.0,193,Luxembourg
juan-carlos-martin,Juan Carlos  Martin,1967,64.0,177,Spain
eddy-beugels,Eddy  Beugels,1944,69.0,189,Netherlands
jacques-van-meer,Jacques van Meer,1958,62.0,170,Netherlands
matthew-stephens,Matthew  Stephens,1970,64.0,182,Great Britain
loe-van-belle,Loe van Belle,2002,78.0,184,Netherlands
leonardo-scarselli,Leonardo  Scarselli,1975,67.0,180,Italy
maxime-mederel,Maxime  Méderel,1980,59.0,173,France
lukas-ruegg,Lukas  Rüegg,1996,66.0,177,Switzerland
javier-etxarri-marin,Javier  Etxarri,1986,67.0,180,Spain
serge-vandaele,Serge  Vandaele,1952,64.0,178,Belgium
jasper-de-buyst,Jasper De Buyst,1993,72.0,179,Belgium
regis-ovion,Régis  Ovion,1949,64.0,177,France
ethan-hayter,Ethan  Hayter,1998,69.0,180,Great Britain
sander-armee,Sander  Armée,1985,72.0,190,Belgium
james-whelan,James  Whelan,1996,64.0,185,Australia
stefan-van-leeuwe,Stefan Van Leeuwe,1963,70.0,180,Belgium
angelo-pagani,Angelo  Pagani,1988,68.0,176,Italy
marco-chagas,Marco António  Chagas,1956,73.0,187,Portugal
luis-casas,Luis  Casas,1953,70.0,190,Spain
fernando-serrano-sanchez,Fernando  Serrano,1979,72.0,183,Spain
lars-wahlqvist,Lars  Wahlqvist,1964,67.0,178,Sweden
nathan-earle,Nathan  Earle,1988,70.0,180,Australia
claudio-bartoli,Claudio  Bartoli,1979,71.0,195,Italy
gianluigi-barsotelli,Gianluigi  Barsotelli,1965,63.0,171,Italy
bruno-zanoni,Bruno  Zanoni,1952,74.0,180,Italy
tom-stamsnijder,Tom  Stamsnijder,1985,76.0,191,Netherlands
victor-hugo-pena,Victor Hugo  Peña,1974,65.0,178,Colombia
jaime-alberto-castaneda,Jaime Alberto  Castañeda,1986,70.0,184,Colombia
hector-guerra-garcia,Héctor  Guerra,1978,80.0,194,Spain
mario-beccia,Mario  Beccia,1955,68.0,183,Italy
jan-valach,Ján  Valach,1973,75.0,194,Slovakia
adam-roberge,Adam  Roberge,1997,72.0,194,Canada
humberto-contreras,Humberto  Contreras,1972,74.0,187,Colombia
asiat-saitov,Asiat  Saitov,1965,69.0,180,Russia
antonio-angulo,Antonio  Angulo,1992,67.0,175,Spain
justin-jules,Justin  Jules,1986,64.0,167,France
jan-polanc,Jan  Polanc,1992,62.0,172,Slovenia
ciaran-power,Ciarán  Power,1976,68.0,184,Ireland
jenthe-biermans,Jenthe  Biermans,1995,78.0,184,Belgium
viktor-rjaksinski,Viktor  Rjaksinski,1967,62.0,173,Ukraine
etienne-de-beule,Etienne De Beule,1953,72.0,182,Belgium
hans-kanel2,Hans  Känel,1953,63.0,178,Switzerland
roberto-lozano,Roberto  Lozano,1977,64.0,170,Spain
sergey-klimov,Sergey  Klimov,1980,69.0,183,Russia
daniel-rossel,Daniel  Rossel,1960,72.0,174,Belgium
javier-murguialday,Javier  Murguialday,1962,58.0,164,Spain
wilson-alexander-marentes,Wilson Alexander  Marentes,1985,60.0,178,Colombia
rik-van-looy,Rik Van Looy,1933,73.0,178,Belgium
jean-patrick-nazon,Jean-Patrick  Nazon,1977,74.0,182,France
marek-canecky,Marek  Čanecký,1988,72.0,187,Slovakia
stefan-kung,Stefan  Küng,1993,83.0,193,Switzerland
mathew-hayman,Mathew  Hayman,1978,78.0,190,Australia
negasi-abreha,Negasi Haylu  Abreha,2000,71.0,186,Ethiopia
robin-chaigneau,Robin  Chaigneau,1988,80.0,185,Netherlands
jean-jacques-henry,Jean-Jacques  Henry,1967,70.0,185,France
davide-baldaccini,Davide  Baldaccini,1998,65.0,176,Italy
laudelino-cubino,Laudelino  Cubino,1963,64.0,170,Spain
joel-suter,Joel  Suter,1998,75.0,190,Switzerland
arnoud-van-groen,Arnoud van Groen,1983,69.0,183,Netherlands
youri-perunovski,Youri  Perunovski,1963,69.0,175,Russia
cesar-perez-padron,César  Pérez,1973,53.0,163,Spain
laurent-pillon,Laurent  Pillon,1964,65.0,179,France
kurt-steinmann,Kurt  Steinmann,1962,74.0,180,Switzerland
damiano-caruso,Damiano  Caruso,1987,67.0,179,Italy
eric-jacques,Eric  Jacques,1953,78.0,192,Belgium
lubos-lom,Luboš  Lom,1965,70.0,184,Czech Republic
